"Catalog Info"
Title,"First Census of Water Bodies Data"
Link,https://data.gov.in/catalog/first-census-water-bodies-data
Contributor,"Department of Water Resources, River Development & Ganga Rejuvenation"
Keywords,"water bodies, Water Bodies Census"
Sectors,"Water Resources"
"Published Date","2023/06/12 16:56:04"
Source,data.gov.in
"No Of Resources",1
"Released Under","National Data Sharing and Accessibility Policy (NDSAP)"
"
"
"Resource Info"
"Resource Title","Resource File","Resource Updated","Resource Size"
"1. State-wise Data of First Census of Water Bodies - Haryana",WBC_HR.csv,"2023/06/12 16:56:50","4.1 mb",
